molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
CHEMBL1916718,Cc1ccccc1Nc1nc2ccc(N(C)C(=O)/C=C/CN(C)C)cc2n2cncc12,active,414.51300000000015,4.015120000000003,1.0,6.0,8.399027104313252
CHEMBL1916879,Cc1ccc(NC(=O)c2cccc(C(F)(F)F)c2)cc1Nc1nc2ccc(N(C)C(=O)/C=C/CN(C)C)cc2n2cncc12,active,601.6330000000002,6.286220000000006,2.0,7.0,7.774690718274137
CHEMBL1916880,Cc1ccc(F)cc1Nc1nc2ccc(N(C)C(=O)/C=C/CN(C)C)cc2n2cncc12,active,432.5030000000002,4.154220000000003,1.0,6.0,8.47755576649368
CHEMBL1916881,Cc1cc(F)ccc1Nc1nc2ccc(N(C)C(=O)/C=C/CN(C)C)cc2n2cncc12,active,432.5030000000002,4.154220000000003,1.0,6.0,8.528708288941061
CHEMBL1916882,Cc1c(F)cccc1Nc1nc2ccc(N(C)C(=O)/C=C/CN(C)C)cc2n2cncc12,active,432.50300000000016,4.154220000000003,1.0,6.0,8.723538195826755
CHEMBL1916883,Cc1cccc(Cl)c1Nc1nc2ccc(N(C)C(=O)/C=C/CN(C)C)cc2n2cncc12,active,448.95800000000025,4.6685200000000036,1.0,6.0,7.987162775294828
CHEMBL1916884,Cc1ccc(Cl)cc1Nc1nc2ccc(N(C)C(=O)/C=C/CN(C)C)cc2n2cncc12,active,448.95800000000025,4.6685200000000036,1.0,6.0,7.87942606879415
CHEMBL1916885,Cc1cc(Cl)ccc1Nc1nc2ccc(N(C)C(=O)/C=C/CN(C)C)cc2n2cncc12,active,448.9580000000002,4.6685200000000036,1.0,6.0,8.121478204498793
CHEMBL1916886,Cc1c(Cl)cccc1Nc1nc2ccc(N(C)C(=O)/C=C/CN(C)C)cc2n2cncc12,active,448.9580000000002,4.6685200000000036,1.0,6.0,7.217527375833714
CHEMBL1916887,Cc1cccc(O)c1Nc1nc2ccc(N(C)C(=O)/C=C/CN(C)C)cc2n2cncc12,active,430.51200000000017,3.720720000000002,2.0,7.0,7.982966660701219
CHEMBL1916888,Cc1ccc(O)cc1Nc1nc2ccc(N(C)C(=O)/C=C/CN(C)C)cc2n2cncc12,active,430.51200000000017,3.720720000000002,2.0,7.0,8.809668301829708
CHEMBL1916889,Cc1cc(O)ccc1Nc1nc2ccc(N(C)C(=O)/C=C/CN(C)C)cc2n2cncc12,active,430.51200000000017,3.720720000000002,2.0,7.0,7.913640169325252
CHEMBL1916890,Cc1c(O)cccc1Nc1nc2ccc(N(C)C(=O)/C=C/CN(C)C)cc2n2cncc12,active,430.51200000000017,3.720720000000002,2.0,7.0,7.116338564846382
CHEMBL1916891,Cc1ccccc1Nc1nc2cc(F)c(N(C)C(=O)/C=C/CN(C)C)cc2n2cncc12,active,432.50300000000016,4.154220000000003,1.0,6.0,8.714442690992227
CHEMBL1916892,CN(C)C/C=C/C(=O)N(C)c1cc2c(cc1F)nc(Nc1ccccc1Cl)c1cncn12,active,452.9210000000001,4.499200000000004,1.0,6.0,8.739928612014925
CHEMBL1916893,Cc1ccc(F)cc1Nc1nc2cc(F)c(N(C)C(=O)/C=C/CN(C)C)cc2n2cncc12,active,450.4930000000002,4.293320000000003,1.0,6.0,8.170053304058364
CHEMBL1916894,Cc1cc(F)ccc1Nc1nc2cc(F)c(N(C)C(=O)/C=C/CN(C)C)cc2n2cncc12,active,450.4930000000002,4.293320000000003,1.0,6.0,8.271646217978772
CHEMBL1916895,Cc1ccccc1Nc1nc2cc(Cl)c(N(C)C(=O)/C=C/CN(C)C)cc2n2cncc12,active,448.9580000000002,4.6685200000000036,1.0,6.0,8.316052869248487
CHEMBL1916896,CN(C)C/C=C/C(=O)N(C)c1cc2c(cc1Cl)nc(Nc1ccccc1Cl)c1cncn12,active,469.37600000000015,5.013500000000004,1.0,6.0,8.298432014944073
CHEMBL1916897,Cc1ccc(F)cc1Nc1nc2cc(Cl)c(N(C)C(=O)/C=C/CN(C)C)cc2n2cncc12,active,466.94800000000026,4.807620000000004,1.0,6.0,8.400116927926312
CHEMBL1916898,Cc1cc(F)ccc1Nc1nc2cc(Cl)c(N(C)C(=O)/C=C/CN(C)C)cc2n2cncc12,active,466.94800000000026,4.807620000000004,1.0,6.0,8.020907099361674
CHEMBL1916899,Cc1ccccc1Oc1nc2cc(F)c(N(C)C(=O)/C=C/CN(C)C)cc2n2cncc12,active,433.48700000000014,4.202920000000003,0.0,6.0,8.258848401148216
CHEMBL1916900,Cc1ccc(F)cc1Oc1nc2cc(F)c(N(C)C(=O)/C=C/CN(C)C)cc2n2cncc12,active,451.4770000000002,4.342020000000003,0.0,6.0,7.886056647693163
CHEMBL1916901,Cc1cc(F)ccc1Oc1nc2cc(F)c(N(C)C(=O)/C=C/CN(C)C)cc2n2cncc12,active,451.4770000000002,4.342020000000003,0.0,6.0,8.020907099361674
CHEMBL1916902,Cc1cc(F)ccc1Oc1nc2ccc(N(C)C(=O)/C=C/CN(C)C)cc2n2cncc12,active,433.4870000000002,4.202920000000002,0.0,6.0,8.181774106386044
CHEMBL1916903,Cc1ccccc1Sc1nc2ccc(N(C)C(=O)/C=C/CN(C)C)cc2n2cncc12,active,431.56500000000017,4.4227200000000035,0.0,6.0,6.548213564475709
CHEMBL1916904,CNc1ccc2nc(Nc3cc(F)ccc3C)c3cncn3c2c1,active,321.35900000000004,4.115320000000002,2.0,5.0,7.142667503568731
CHEMBL1916906,CNc1cc2c(cc1F)nc(Nc1ccccc1C)c1cncn12,active,321.35900000000004,4.115320000000002,2.0,5.0,7.3979400086720375
CHEMBL1916907,CNc1cc2c(cc1F)nc(Oc1ccccc1C)c1cncn12,active,322.343,4.1640200000000025,1.0,5.0,6.173925197299173
CHEMBL1916891,Cc1ccccc1Nc1nc2cc(F)c(N(C)C(=O)/C=C/CN(C)C)cc2n2cncc12,active,432.50300000000016,4.154220000000003,1.0,6.0,9.154901959985743
CHEMBL1916897,Cc1ccc(F)cc1Nc1nc2cc(Cl)c(N(C)C(=O)/C=C/CN(C)C)cc2n2cncc12,active,466.94800000000026,4.807620000000004,1.0,6.0,8.585026652029182
CHEMBL1916891,Cc1ccccc1Nc1nc2cc(F)c(N(C)C(=O)/C=C/CN(C)C)cc2n2cncc12,active,432.50300000000016,4.154220000000003,1.0,6.0,7.318758762624412
CHEMBL1916891,Cc1ccccc1Nc1nc2cc(F)c(N(C)C(=O)/C=C/CN(C)C)cc2n2cncc12,active,432.50300000000016,4.154220000000003,1.0,6.0,8.480172006224281
CHEMBL1916359,[O-][n+]1ccc2c(-c3ccc(F)cc3Cl)ccnc2c1-c1c(Cl)cccc1Cl,inactive,419.6700000000002,6.301500000000003,0.0,2.0,5.0
CHEMBL1929238,CN(C)CCN1CCN(C(=O)c2cc(C(C)(C)C)sc2NC(=O)Nc2cccc(Cl)c2Cl)CCC1=O,inactive,554.5440000000001,5.232500000000004,2.0,5.0,4.522878745280337
CHEMBL103667,Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)cc1,inactive,527.6690000000006,5.986420000000005,2.0,6.0,4.522878745280337
CHEMBL1933552,C[C@@H]1CCC(N2CC[C@]3(CN(C(=O)c4cc5ccc(F)cc5[nH]4)c4ccccc43)C2)CN1,inactive,432.5430000000002,4.051400000000003,2.0,3.0,4.522878745280337
CHEMBL2010872,CC(C)Cn1c2ccc(Nc3ncccn3)cc2c2c3c(c4c(c21)CCc1nn(C)cc1-4)C(=O)NC3,active,477.57200000000034,4.726600000000004,2.0,7.0,7.031517051446065
CHEMBL460472,COc1ccc2c(Oc3ccc(NC(=O)c4c(C)n(CC(C)(C)O)n(-c5ccccc5)c4=O)nc3)ccnc2c1,active,539.5920000000002,4.7147200000000025,2.0,9.0,6.0
CHEMBL2031893,COc1cc2nccc(Oc3ccc(NC(=O)c4c(C)n(C)n(-c5ccccc5)c4=O)cc3F)c2cc1OC,active,528.5400000000002,5.233520000000005,1.0,8.0,8.0
CHEMBL1873475,C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,active,440.5070000000002,4.2173000000000025,1.0,7.0,9.301029995663981
CHEMBL2057912,Nc1ncnc2c1c(-c1ccc(Oc3ccccc3)cc1)nn2C1CCCC1,active,371.4440000000002,4.9829000000000025,1.0,6.0,8.086186147616283
CHEMBL2057913,C=CC(=O)N1CCCC(c2c(Cl)c(-c3ccc(Oc4ccc(Cl)c(Cl)c4)c(OC)c3)c3c(N)ncnn23)C1,active,572.8800000000001,6.631600000000004,1.0,7.0,8.698970004336019
CHEMBL1916891,Cc1ccccc1Nc1nc2cc(F)c(N(C)C(=O)/C=C/CN(C)C)cc2n2cncc12,active,432.50300000000016,4.154220000000003,1.0,6.0,8.714442690992227
CHEMBL2057914,CC(C)(C)c1ccc(C(=O)Nc2cccc(-c3cn4ccnc4c(Nc4ccccc4)n3)c2)cc1,active,461.56900000000013,6.6897000000000055,2.0,5.0,6.3979400086720375
CHEMBL2057915,Cc1c(NC(=O)c2cc3c(s2)CCCC3)cccc1-c1cn(C)c(=O)c(Nc2ccc([C@@H]3C(=O)N(C)CCN3C)cc2)n1,active,596.7570000000001,5.136820000000005,2.0,8.0,8.638272163982407
CHEMBL2057916,CCNC(=O)Nc1cc(-c2cccc(NC(=O)c3ccc(C(C)(C)C)cc3)c2C)cn(C)c1=O,active,460.57800000000026,5.051920000000004,3.0,4.0,7.886056647693163
CHEMBL2057919,Cc1c(-c2ccc(C(N)=O)c3[nH]c4cc(C(O)CO)ccc4c23)cccc1-n1cnc2ccc(F)cc2c1=O,active,522.5360000000002,4.259320000000002,4.0,6.0,9.154901959985743
CHEMBL2057920,CC(C)(C)c1ccc(C(=O)N[C@@H]2CCCN(c3nc(Nc4ccc(C(=O)N5CCNCC5)cc4)c4nccn4n3)C2)cc1,active,581.7250000000001,3.609600000000002,3.0,9.0,7.886056647693163
CHEMBL2057921,Cc1c(NC(=O)c2ccc(N(C)C)cc2)cccc1-c1nc(Nc2ccc(C(=O)N3CCOCC3)cc2)c2nccn2n1,active,576.6610000000003,4.634020000000003,2.0,9.0,6.841637507904751
CHEMBL2057922,Cc1c(NC(=O)c2ccc(N(C)C)cc2)cccc1-c1nc(Nc2ccc(C(=O)N3CCOCC3)cc2)c2ncc(N)n2n1,active,591.6760000000002,4.2162200000000025,3.0,10.0,7.522878745280337
CHEMBL2057923,Nc1n[nH]c2cc(-c3ccc(C(=O)O)cc3)nc(-c3ccc(Oc4ccccc4)cc3)c12,active,422.44400000000013,5.364600000000003,3.0,5.0,9.0
CHEMBL2057924,O=C(N[C@@H]1CCCN(c2ncnc3[nH]ccc23)C1)[C@H](Nc1ccccc1)C1CC1,active,390.49100000000016,2.9336,3.0,5.0,7.0
CHEMBL2057925,O=C(CNc1ccccc1S(=O)(=O)N1CCCCC1)N[C@@H]1CCCN(c2ncnc3[nH]ccc23)C1,active,497.6250000000003,2.3296,3.0,7.0,7.0
CHEMBL2058193,O=C1C(Nc2cc(F)cc(Cl)c2)CCCN1[C@@H]1CCCN(c2ncnc3[nH]ccc23)C1,active,442.9260000000002,3.822300000000002,2.0,5.0,7.0
CHEMBL2058194,O=C(Nc1cccc([C@H]2CCCN(c3ncnc4[nH]ccc34)C2)c1)Nc1c(Cl)cccc1Cl,active,481.38700000000017,6.2927000000000035,3.0,4.0,7.0
CHEMBL1421,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1,active,488.01700000000034,3.3135400000000015,3.0,9.0,8.301029995663981
CHEMBL2057918,CN1CCN(c2ccc(Nc3cc(-c4cccc(-n5ccc6cc(C7CC7)cc(F)c6c5=O)c4CO)cn(C)c3=O)nc2)CC1,active,606.7020000000001,4.755600000000004,2.0,9.0,9.522878745280337
CHEMBL2057919,Cc1c(-c2ccc(C(N)=O)c3[nH]c4cc(C(O)CO)ccc4c23)cccc1-n1cnc2ccc(F)cc2c1=O,active,522.5360000000002,4.259320000000002,4.0,6.0,7.958607314841775
CHEMBL2151321,CC(C)Oc1cc(-n2cnc3ccc(N[C@@H](C)c4ccc(F)cn4)nc32)n[nH]1,active,381.415,3.638000000000001,2.0,7.0,8.455931955649724
CHEMBL2179790,C=CC(=O)N1CCCC(n2nc(-c3cccc(C(=O)Nc4cccc(C(C)(C)C)c4)c3)c3c(N)ncnc32)C1,active,523.6410000000002,4.974800000000004,2.0,7.0,7.823908740944319
CHEMBL2179806,C=CC(=O)N1CCC[C@@H](n2nc(-c3cccc(C(=O)NCc4ccc(C(C)(C)C)cc4)c3)c3c(N)ncnc32)C1,active,537.6680000000002,4.652500000000003,2.0,7.0,7.920818753952375
