molecule_chembl_id,canonical_smiles,bioactivity_class,standard_value
CHEMBL2057915,Cc1c(NC(=O)c2cc3c(s2)CCCC3)cccc1-c1cn(C)c(=O)c(Nc2ccc([C@@H]3C(=O)N(C)CCN3C)cc2)n1,active,2.3
CHEMBL2057916,CCNC(=O)Nc1cc(-c2cccc(NC(=O)c3ccc(C(C)(C)C)cc3)c2C)cn(C)c1=O,active,13.0
CHEMBL2057919,Cc1c(-c2ccc(C(N)=O)c3[nH]c4cc(C(O)CO)ccc4c23)cccc1-n1cnc2ccc(F)cc2c1=O,active,0.7
CHEMBL2057920,CC(C)(C)c1ccc(C(=O)N[C@@H]2CCCN(c3nc(Nc4ccc(C(=O)N5CCNCC5)cc4)c4nccn4n3)C2)cc1,active,13.0
CHEMBL2057921,Cc1c(NC(=O)c2ccc(N(C)C)cc2)cccc1-c1nc(Nc2ccc(C(=O)N3CCOCC3)cc2)c2nccn2n1,active,144.0
CHEMBL2057922,Cc1c(NC(=O)c2ccc(N(C)C)cc2)cccc1-c1nc(Nc2ccc(C(=O)N3CCOCC3)cc2)c2ncc(N)n2n1,active,30.0
CHEMBL2057923,Nc1n[nH]c2cc(-c3ccc(C(=O)O)cc3)nc(-c3ccc(Oc4ccccc4)cc3)c12,active,1.0
CHEMBL2057924,O=C(N[C@@H]1CCCN(c2ncnc3[nH]ccc23)C1)[C@H](Nc1ccccc1)C1CC1,active,100.0
CHEMBL2057925,O=C(CNc1ccccc1S(=O)(=O)N1CCCCC1)N[C@@H]1CCCN(c2ncnc3[nH]ccc23)C1,active,100.0
CHEMBL2058193,O=C1C(Nc2cc(F)cc(Cl)c2)CCCN1[C@@H]1CCCN(c2ncnc3[nH]ccc23)C1,active,100.0
CHEMBL2058194,O=C(Nc1cccc([C@H]2CCCN(c3ncnc4[nH]ccc34)C2)c1)Nc1c(Cl)cccc1Cl,active,100.0
CHEMBL1421,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1,active,5.0
CHEMBL2057918,CN1CCN(c2ccc(Nc3cc(-c4cccc(-n5ccc6cc(C7CC7)cc(F)c6c5=O)c4CO)cn(C)c3=O)nc2)CC1,active,0.3
CHEMBL2057919,Cc1c(-c2ccc(C(N)=O)c3[nH]c4cc(C(O)CO)ccc4c23)cccc1-n1cnc2ccc(F)cc2c1=O,active,11.0
CHEMBL2151321,CC(C)Oc1cc(-n2cnc3ccc(N[C@@H](C)c4ccc(F)cn4)nc32)n[nH]1,active,3.5
CHEMBL2179790,C=CC(=O)N1CCCC(n2nc(-c3cccc(C(=O)Nc4cccc(C(C)(C)C)c4)c3)c3c(N)ncnc32)C1,active,15.0
CHEMBL2179780,CC(C)c1ccc(NC(=O)c2cccc(-c3nn([C@@H]4CCCN(C(=O)/C=C/CN5CCN(CCN)CC5)C4)c4ncnc(N)c34)c2)cc1,intermediate,1050.0
CHEMBL2179806,C=CC(=O)N1CCC[C@@H](n2nc(-c3cccc(C(=O)NCc4ccc(C(C)(C)C)cc4)c3)c3c(N)ncnc32)C1,active,12.0
CHEMBL2179805,C=CC(=O)N1CCC[C@@H](n2nc(-c3cccc(C(=O)Nc4ccc(C(C)C)c(C)c4)c3)c3c(N)ncnc32)C1,active,2.0
CHEMBL2179804,C=CC(=O)N1CCC[C@@H](n2nc(-c3cccc(C(=O)Nc4ccc(C(C)C)cc4)c3)c3c(N)ncnc32)C1,active,5.0
CHEMBL2205766,CC(C)(C)NS(=O)(=O)c1cncc(-c2ccn3nc(N)nc3c2)c1,inactive,10000.0
CHEMBL2216827,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(Oc4ccnc(C(=O)NC)c4)cc3)ncc2F)c1,active,1.0
CHEMBL2216828,C=CC(=O)N1CCCC(c2c(Cl)c(-c3ccc(Oc4cccc(Cl)c4)c(OC)c3)c3c(N)ncnn23)C1,active,2.0
CHEMBL1873475,C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,active,0.5
CHEMBL2216827,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(Oc4ccnc(C(=O)NC)c4)cc3)ncc2F)c1,active,1.0
CHEMBL2312304,O=C(NCCCN1CCOC1=O)c1cnc(NCc2cc(Cl)ccc2Cl)nc1NC1CCCC1,inactive,30000.0
CHEMBL2312303,O=C(NCCCN1CCCC1=O)c1cnc(NCc2cc(Cl)ccc2Cl)nc1NC1CCCC1,inactive,30000.0
CHEMBL2312654,Cc1cc(-c2cnc(Nc3cc(Cl)cc(Cl)c3)nc2NC2CCC(N(C)C)CC2)on1,active,950.0
CHEMBL2312652,CN1CCC(NC(=O)c2cnc(Nc3cc(Cl)cc(Cl)c3)nc2N[C@@H]2COC[C@H]2O)CC1,inactive,30000.0
CHEMBL2312649,CN1CCC(NC(=O)c2cnc(Nc3cc(Cl)cc(Cl)c3)nc2NC2CCC(N(C)C)CC2)CC1,inactive,30000.0
CHEMBL2312646,CN1CCC(NC(=O)c2cnc(NCc3cc(Cl)ccc3Cl)nc2NC2CCCC2)CC1,inactive,25670.0
CHEMBL2312645,COc1ccccc1CNc1ncc(C(=O)NC2CCN(C)CC2)c(NC2CCCC2)n1,inactive,30000.0
CHEMBL58,O=C1c2c(O)ccc(O)c2C(=O)c2c(NCCNCCO)ccc(NCCNCCO)c21,active,1000.0
CHEMBL2403108,Cc1cc(Nc2ncc(Cl)c(Nc3ccccc3S(=O)(=O)C(C)C)n2)c(OC(C)C)cc1C1CCNCC1,intermediate,3360.0
CHEMBL2441273,CCc1ccc2nc(Nc3cc(Cc4ccccc4)nc(N[C@H]4CC[C@H](O)CC4)n3)sc2c1,active,316.23
CHEMBL3263314,Cn1cnc2c(Nc3ccc(C(=O)N4CCOCC4)cc3)nc(-c3cccc(NC(=O)c4ccc(C(C)(C)C)cc4)c3)nc21,active,67.0
CHEMBL3263315,Cn1ncc2c(Nc3ccc(C(=O)N4CCOCC4)cc3)nc(-c3cccc(NC(=O)c4ccc(C(C)(C)C)cc4)c3)nc21,inactive,12700.0
CHEMBL3263313,Cn1cnc2c(Nc3ccc(C(=O)N4CCOCC4)cc3)nc(-c3cccc(NC(=O)c4ccc(C(C)(C)C)cc4)c3)cc21,active,150.0
CHEMBL3263316,CC(C)(C)c1ccc(C(=O)Nc2cccc(-c3nccc(Nc4ccc(C(=O)N5CCOCC5)cc4)n3)c2)cc1,inactive,50000.0
CHEMBL3263317,CC(C)(C)c1ccc(C(=O)Nc2cccc(-c3nc(Nc4ccc(C(=O)N5CCOCC5)cc4)c4cccn4n3)c2)cc1,inactive,50000.0
CHEMBL3263628,Cc1c(NC(=O)c2ccc(C(C)(C)C)cc2)cccc1-c1nc(Nc2ccc(C(=O)N3CCOCC3)cc2)c2ncn(C)c2n1,active,38.0
CHEMBL3263629,Cc1c(NC(=O)c2ccc(C(C)(C)C)cc2)cccc1-c1cc(Nc2ccc(C(=O)N3CCOCC3)cc2)c2nccn2n1,active,213.0
CHEMBL3263630,Cc1c(NC(=O)c2ccc(C(C)(C)C)cc2)cccc1-c1cc(Nc2ccc(C(=O)N3CCOCC3)cc2)c2nccn2c1,active,574.0
CHEMBL3263631,Cc1c(NC(=O)c2ccc(C(C)(C)C)cc2)cccc1-c1nc(Nc2ccc(C(=O)O)cc2)c2ncn(C)c2n1,active,64.0
CHEMBL3263632,Cc1c(NC(=O)c2ccc(C(C)(C)C)cc2)cccc1-c1nc(Nc2ccc(C(=O)N3CCNCC3)cc2)c2ncn(C)c2n1,active,25.0
CHEMBL3263633,Cc1c(NC(=O)c2ccc(C(C)(C)C)cc2)cccc1-c1nc(Nc2ccc(C(=O)N3CCN(CCO)CC3)cc2)c2ncn(C)c2n1,active,28.0
CHEMBL3263634,Cc1c(NC(=O)c2ccc(C(C)(C)C)cc2)cccc1-c1nc(Nc2ccc(C(=O)N3CCN(C)CC3)cc2)c2ncn(C)c2n1,active,17.0
CHEMBL3263635,Cc1c(NC(=O)c2ccc(C(C)(C)C)cc2)cccc1-c1nc(Nc2ccc(C(=O)OCCN(C)C)cc2)c2ncn(C)c2n1,active,143.0
CHEMBL3263636,Cc1c(NC(=O)c2ccc(C(C)(C)C)cc2)cccc1-c1nc(Nc2ccc(C(=O)N(C)C)cc2)c2ncn(C)c2n1,active,43.0
CHEMBL3263637,Cc1c(NC(=O)c2ccc(C(C)(C)C)cc2)cccc1-c1nc(Nc2ccc(C(=O)NCCN(C)C)cc2)c2ncn(C)c2n1,active,87.0
CHEMBL3263638,Cc1c(NC(=O)c2ccc(C(C)(C)C)cc2)cccc1-c1nc(Nc2ccc(C(=O)NCCO)cc2)c2ncn(C)c2n1,active,126.0
CHEMBL3263639,Cc1c(NC(=O)c2ccc(C(C)(C)C)cc2)cccc1-c1nc(Nc2ccc(N3CCNCC3)cc2)c2ncn(C)c2n1,active,19.0
CHEMBL3263640,Cc1c(NC(=O)c2ccc(C(C)(C)C)cc2)cccc1-c1nc(Nc2ccc(C(=O)N3CCOCC3)cc2)c2nc[nH]c2n1,active,8.0
CHEMBL3263641,CCCn1cnc2c(Nc3ccc(C(=O)N4CCOCC4)cc3)nc(-c3cccc(NC(=O)c4ccc(C(C)(C)C)cc4)c3C)nc21,active,170.0
CHEMBL3263642,Cc1c(NC(=O)c2ccc(C(C)(C)C)cc2)cccc1-c1nc(Nc2ccc(C(=O)N3CCOCC3)cc2)c2ncn(CCc3ccccc3)c2n1,active,140.0
CHEMBL3263643,Cc1c(NC(=O)c2ccc(C(C)(C)C)cc2)cccc1-c1nc(Nc2ccc(C(=O)N3CCOCC3)cc2)c2ncn(CCCc3ccccc3)c2n1,inactive,50000.0
CHEMBL3263644,Cc1c(NC(=O)c2ccc(C(C)(C)C)cc2)cccc1-c1nc(Nc2ccc(C(=O)N3CCOCC3)cc2)c2ncn(CC(=O)OC(C)(C)C)c2n1,inactive,29000.0
CHEMBL3263645,Cc1c(NC(=O)c2ccc(C(C)(C)C)cc2)cccc1-c1nc(Nc2ccc(C(=O)N3CCOCC3)cc2)c2ncn(CC(=O)O)c2n1,active,970.0
CHEMBL3263646,CC(C)(C)c1ccc(C(=O)Nc2cccc(-c3nc(Nc4ccc(C(=O)N5CCOCC5)cc4)c4nc[nH]c4n3)c2)cc1,active,33.0
